文本,文本1,文本2,文本3,文本4,文本5,文本6,文本7,文本8,文本9,文本10,文本11,文本12,文本13,文本14,文本15,文本16,文本17,文本18,文本19,文本20,文本21,文本22,字段1,字段2,文本23,文本24,文本25,文本26,文本27,文本28,文本29,文本30,文本31,文本32,文本33,文本34,文本35,文本36,文本37,文本38,文本39,文本40,文本41,文本42,文本43,文本44,文本45,文本46,文本47,字段3,标题
"Abstract

In 2014 the contribution of aquaculture to supply food for human consumption overtook wild-caught fish for the first time. Despite improvements in the aquaculture industry, it has been estimated that as much as 10% of all cultured aquatic animals are lost because of infectious diseases, amounting to >10 billion USD in losses annually on a global scale.

Vaccination to prevent disease is used routinely in finfish aquaculture, especially for Atlantic salmon (Salmo salar), while in a limited capacity (or not at all) in many other fish species due to lack of vaccines, poor performance or cost. There has, nevertheless, been impressive progress in fish vaccine development over the last 4 decades with 24 licenced fish vaccines now commercially available for use in a variety of fish species. These comprise whole killed, peptide subunit, recombinant protein, DNA and live attenuated vaccines.

Challenges do, however, still exist as the majority of commercial vaccines are killed whole cell pathogen preparations administered by intraperitoneal injection. This may not be the optimal route to deliver some vaccines, but lack of effective adjuvants and basic knowledge on immune response has hindered progress in the development of mucosal vaccines. The cost of injecting fish may also be prohibitive in some countries leading to disease treatment (e.g. with antibiotics) rather than using preventative measures. It is important that these issues are addressed as the industry continues to grow globally.

Exciting opportunities exist for rapid development of fish vaccines in the future, with continued reduction in cost of technologies (e.g. of whole genome sequencing), regulations changing (e.g. DNA vaccines can now authorised in Europe), the introduction of novel antigen expression and delivery systems (such as virus-like particles, VLPs), development of novel adjuvants and advancements in the elucidation of basic mechanisms of mucosal immunity. Development of effective mucosal vaccines and optimisation of their delivery will facilitate novel vaccine development, and enable the aquaculture industries in LMIC to use vaccination routinely in the future. In addition, effective use of emergency (autogenous) vaccines will assist in tackling emerging disease challenges.",,,,,,,,,,,,,,,,,,,,,,,,,"Progress, challenges and opportunities in fish vaccine development",,,,,,,,,,,,,,,,,,,,,,,,,,
"Abstract

Foodborne pathogens and occupational hazards are two primary safety concerns for U.S. beef slaughterhouses. The anthropogenic environmental impacts due to intensive resource use and pollution also exert threats to human health. Quantifying human health impacts from various sources remain a grand sustainability challenge for U.S. beef industry. We develop a framework to systematically estimate and compare human health impacts associated with U.S. beef foodborne illnesses from major pathogens and environmental impacts and occupational hazards from U.S. beef slaughtering on a common metric, disability-adjusted life year (DALY). Foodborne illnesses and occupational hazards are estimated by synthesizing published data and methodologies while environmental impacts are quantified using life cycle assessment. In spite of inherent uncertainties in estimation, results show that the environmental impacts and occupational hazards from beef slaughtering are of same magnitude with foodborne illnesses from beef consumption on human health. Salmonella and Clostridium perfringens contribute 51% and 28%, respectively, to the beef foodborne DALY; Global warming and fine particulate matter formation, due to electricity and natural gas use, are primary drivers for environmental DALY, accounting 62% and 28%, respectively. Occupational DALY is on average lower than environmental DALY from beef slaughtering and foodborne DALY. The impact of new food safety interventions that use additional resources to improve food safety should be considered jointly with environmental impacts and occupational hazards to avoid unintended shifts and net increase of human health impacts. The methodology and results from this study provide a new perspective on reforms of the U.S. food safety regulations building toward sustainability in the food processing industry.",,,,,,,,,,,,,,,,,,,,,,,,,Environmental and occupational impacts from U.S. beef slaughtering are of same magnitude of beef foodborne illnesses on human health,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abstract

Half of the seafood consumed globally now comes from aquaculture, or farmed seafood. Aquaculture therefore plays an increasingly important role in the global food system, the environment, and human health. Traditionally, aquaculture feed has contained high levels of wild fish, which is unsustainable for ocean ecosystems as demand grows. The aquaculture industry is shifting to crop-based feed ingredients, such as soy, to replace wild fish as a feed source and allow for continued industry growth. This shift fundamentally links seafood production to terrestrial agriculture, and multidisciplinary research is needed to understand the ecological and environmental health implications. We provide basic estimates of the agricultural resource use associated with producing the top five crops used in commercial aquaculture feed. Aquaculture's environmental footprint may now include nutrient and pesticide runoff from industrial crop production, and depending on where and how feed crops are produced, could be indirectly linked to associated negative health outcomes. We summarize key environmental health research on health effects associated with exposure to air, water, and soil contaminated by industrial crop production. Our review also finds that changes in the nutritional content of farmed seafood products due to altered feed composition could impact human nutrition. Based on our literature reviews and estimates of resource use, we present a conceptual framework describing the potential links between increasing use of crop-based ingredients in aquaculture and human health. Additional data and geographic sourcing information for crop-based ingredients are needed to fully assess the environmental health implications of this trend. This is especially critical in the context of a food system that is using both aquatic and terrestrial resources at unsustainable rates.",,,,,,,,,,,,,,,,,,,,,,,,,Environmental health impacts of feeding crops to farmed fish,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abstract

Half of the seafood consumed globally now comes from aquaculture, or farmed seafood. Aquaculture therefore plays an increasingly important role in the global food system, the environment, and human health. Traditionally, aquaculture feed has contained high levels of wild fish, which is unsustainable for ocean ecosystems as demand grows. The aquaculture industry is shifting to crop-based feed ingredients, such as soy, to replace wild fish as a feed source and allow for continued industry growth. This shift fundamentally links seafood production to terrestrial agriculture, and multidisciplinary research is needed to understand the ecological and environmental health implications. We provide basic estimates of the agricultural resource use associated with producing the top five crops used in commercial aquaculture feed. Aquaculture's environmental footprint may now include nutrient and pesticide runoff from industrial crop production, and depending on where and how feed crops are produced, could be indirectly linked to associated negative health outcomes. We summarize key environmental health research on health effects associated with exposure to air, water, and soil contaminated by industrial crop production. Our review also finds that changes in the nutritional content of farmed seafood products due to altered feed composition could impact human nutrition. Based on our literature reviews and estimates of resource use, we present a conceptual framework describing the potential links between increasing use of crop-based ingredients in aquaculture and human health. Additional data and geographic sourcing information for crop-based ingredients are needed to fully assess the environmental health implications of this trend. This is especially critical in the context of a food system that is using both aquatic and terrestrial resources at unsustainable rates.",,,,,,,,,,,,,,"Little is known about the health of GMS commercial fishers and seafarers, many of whom are migrants and some trafficked. This systematic review summarizes evidence on occupational, physical, sexual and mental health and violence among GMS commercial fishers/seafarers.",,,,,,,"Little is known about the health of GMS commercial fishers and seafarers, many of whom are migrants and some trafficked. This systematic review summarizes evidence on occupational, physical, sexual and mental health and violence among GMS commercial fishers/seafarers.",,,,,,,,,,,,,,,,,,,,"Occupational, physical, sexual and mental health and violence among migrant and trafficked commercial fishers and seafarers from the Greater Mekong Subregion (GMS): systematic review",,,,,,,,,,
"Abstract

Half of the seafood consumed globally now comes from aquaculture, or farmed seafood. Aquaculture therefore plays an increasingly important role in the global food system, the environment, and human health. Traditionally, aquaculture feed has contained high levels of wild fish, which is unsustainable for ocean ecosystems as demand grows. The aquaculture industry is shifting to crop-based feed ingredients, such as soy, to replace wild fish as a feed source and allow for continued industry growth. This shift fundamentally links seafood production to terrestrial agriculture, and multidisciplinary research is needed to understand the ecological and environmental health implications. We provide basic estimates of the agricultural resource use associated with producing the top five crops used in commercial aquaculture feed. Aquaculture's environmental footprint may now include nutrient and pesticide runoff from industrial crop production, and depending on where and how feed crops are produced, could be indirectly linked to associated negative health outcomes. We summarize key environmental health research on health effects associated with exposure to air, water, and soil contaminated by industrial crop production. Our review also finds that changes in the nutritional content of farmed seafood products due to altered feed composition could impact human nutrition. Based on our literature reviews and estimates of resource use, we present a conceptual framework describing the potential links between increasing use of crop-based ingredients in aquaculture and human health. Additional data and geographic sourcing information for crop-based ingredients are needed to fully assess the environmental health implications of this trend. This is especially critical in the context of a food system that is using both aquatic and terrestrial resources at unsustainable rates.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abstract

Some of the most significant threats to the sustainability of the world's 66 Large Marine Ecosystems (LME) – invasive species, coastal hypoxia, overfishing, marine debris and ocean acidification – are due to a combination of market and/or policy failures which cause these environmental externalities. A concerted global effort to remove these barriers would not only lead to dramatic improvements in ocean health and preservation of trillions of dollars in ocean-related goods and services and hundreds of millions of existing jobs, but also catalyze transformation across a range of ocean using and affecting sectors that would create millions of new, and in many cases, well paying, jobs for people across both the developed and developing world.",,,,,,,,,,,,,,,,,,,,,,,,,Restoring and Protecting the world's large marine ecosystems: An engine for job creation and sustainable economic development,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abstract

Some of the most significant threats to the sustainability of the world's 66 Large Marine Ecosystems (LME) – invasive species, coastal hypoxia, overfishing, marine debris and ocean acidification – are due to a combination of market and/or policy failures which cause these environmental externalities. A concerted global effort to remove these barriers would not only lead to dramatic improvements in ocean health and preservation of trillions of dollars in ocean-related goods and services and hundreds of millions of existing jobs, but also catalyze transformation across a range of ocean using and affecting sectors that would create millions of new, and in many cases, well paying, jobs for people across both the developed and developing world.",,,,,,,,,,,,"This article contributes to an understanding of the nexus between humans and animals by drawing on ethnographic research conducted in a British chicken factory and, more particularly, by exploring the emotional subjectivity of Meat Inspectors employed by the Food Standards Agency to oversee quality, hygiene and consumer safety within this plant. We argue that these Inspectors displayed a complex range of often contradictory emotions from the ‘mechanized’ to the ‘humanized’ and link this, in part, to the technocratic organization of factory work that compartmentalizes and sanitizes slaughter. This serves to de-animalize and commodify certain animals, which fosters an emotional detachment from them. In contrast to research which suggests that emotions switch off and on in a dialectic between violence and non-violence, or that we are living in a post-emotional society, we elucidate the co-existence, fluidity and range of emotions that surface and submerge at work. While contributing to the extant literature on ‘emotionologies’, we add new insights by considering how emotions play out in relation to animals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abstract

Aquaponics is the integration of aquaculture and hydroponics. There is expanding interest in aquaponics as a form of aquaculture that can be used to produce food closer to urban centers. Commercial aquaponics uses methods and equipment from both the hydroponics and aquaculture industries. There have been few studies of commercial-scale aquaponics production, and the purpose of this research was to document the production methods, crop and fish yields, and profitability of commercial aquaponics in the United States (US) and internationally. An online survey was used for data collection, and 257 respondents met the inclusion criteria for the study. Eighty-one percent of respondents lived in the US, and the remaining respondents were from 22 other countries. The median year that respondents had begun practicing aquaponics was 2010. A total of 538 full-time workers, 242 part-time workers, and 1720 unpaid workers or volunteers were employed at surveyed organizations. The most commonly raised aquatic animals by percent were tilapia (69%), ornamental fish (43%), catfish (25%), other aquatic animals (18%), perch (16%), bluegill (15%), trout (10%), and bass (7%). Production statistics, gross sales revenue, investments, and sales outlets for operations are reported and compared to other fields of aquaculture and agriculture. A multivariable logistic regression model was used to study which factors were associated with profitability (as a binary outcome) in the past 12 months. Several factors were significantly associated with profitability: aquaponics as the respondents' primary source of income (p < 0.01; Odds Ratio: 5.79; 95% Confidence Interval: 3.8–9.0), location in US Department of Agriculture plant hardiness zones 7–13 (p < 0.01; OR: 4.17; 95% CI: 3.2–5.5), gross sales revenue ≥$5000 (p < 0.01; OR: 3.58; 95% CI: 2.2–5.8), greater aquaponics knowledge (p < 0.01; OR: 2.37; 95% CI: 2.0–2.9), and sales of non-food products (e.g., supplies, materials, consulting services, workshops, and agrotourism) (p = 0.028; OR: 2.13; 95% CI: 1.1–4.2). Our survey findings provide a better understanding of the business of aquaponics, which may enhance future commercial operations.",,,,,,,,,,,,,,,,,,,,,,,,,Commercial aquaponics production and profitability: Findings from an international survey,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abstract

Aquaponics is the integration of aquaculture and hydroponics. There is expanding interest in aquaponics as a form of aquaculture that can be used to produce food closer to urban centers. Commercial aquaponics uses methods and equipment from both the hydroponics and aquaculture industries. There have been few studies of commercial-scale aquaponics production, and the purpose of this research was to document the production methods, crop and fish yields, and profitability of commercial aquaponics in the United States (US) and internationally. An online survey was used for data collection, and 257 respondents met the inclusion criteria for the study. Eighty-one percent of respondents lived in the US, and the remaining respondents were from 22 other countries. The median year that respondents had begun practicing aquaponics was 2010. A total of 538 full-time workers, 242 part-time workers, and 1720 unpaid workers or volunteers were employed at surveyed organizations. The most commonly raised aquatic animals by percent were tilapia (69%), ornamental fish (43%), catfish (25%), other aquatic animals (18%), perch (16%), bluegill (15%), trout (10%), and bass (7%). Production statistics, gross sales revenue, investments, and sales outlets for operations are reported and compared to other fields of aquaculture and agriculture. A multivariable logistic regression model was used to study which factors were associated with profitability (as a binary outcome) in the past 12 months. Several factors were significantly associated with profitability: aquaponics as the respondents' primary source of income (p < 0.01; Odds Ratio: 5.79; 95% Confidence Interval: 3.8–9.0), location in US Department of Agriculture plant hardiness zones 7–13 (p < 0.01; OR: 4.17; 95% CI: 3.2–5.5), gross sales revenue ≥$5000 (p < 0.01; OR: 3.58; 95% CI: 2.2–5.8), greater aquaponics knowledge (p < 0.01; OR: 2.37; 95% CI: 2.0–2.9), and sales of non-food products (e.g., supplies, materials, consulting services, workshops, and agrotourism) (p = 0.028; OR: 2.13; 95% CI: 1.1–4.2). Our survey findings provide a better understanding of the business of aquaponics, which may enhance future commercial operations.",,,"Chlamydia psittaci is an obligate intracellular bacterium responsible for avian chlamydiosis, otherwise known as psittacosis, a zoonotic disease that may lead to severe atypical pneumonia. This study was conducted on seven mule duck flocks harboring asymptomatic birds to explore the circulation and persistence of C. psittaci during the entire breeding process and assess the potential sources of worker exposure. Cloacal swabs and air samples were taken on each occasion requiring humans to handle the birds. In parallel, environmental samples, including dust, water, and soil, were collected. Specific real-time PCR analyses revealed the presence of C. psittaci in all flocks but with three different shedding patterns involving ducks about the age of 4, 8, and 12 weeks with heavy, moderate, and low excretion levels, respectively. Air samples were only positive in flocks harboring heavy shedders. Dust in flocks with heavy or moderate shedders carried chlamydial loads strongly associated with the loads detected in avian and soil samples. Environmental contamination, significantly correlated with shedding dynamics, was considered to be the most probable source of exposure. The high prevalence of bacteriophage Chp1 in all flocks, mostly jointly present with chlamydia, suggests an important factor in C. psittaci persistence, thus creating a greater risk for humans. A survey conducted in these flocks regarding farming practices and activities showed that disinfection seems to be the most promising practice for reducing C. psittaci prevalence in ducks and that the place and the duration of action during operations seem to be potential risk factors. Strict adherence to good practices is strongly recommended.",,,,,,,,,,,,,,,,,,,,,,,,,Assessment of Chlamydia psittaci Shedding and Environmental Contamination as Potential Sources of Worker Exposure throughout the Mule Duck Breeding Process,Assessment of Chlamydia psittaci Shedding and Environmental Contamination as Potential Sources of Worker Exposure throughout the Mule Duck Breeding Process,,,,,,,,,,,,,,,,,,,,,,
"Abstract

Aquaponics is the integration of aquaculture and hydroponics. There is expanding interest in aquaponics as a form of aquaculture that can be used to produce food closer to urban centers. Commercial aquaponics uses methods and equipment from both the hydroponics and aquaculture industries. There have been few studies of commercial-scale aquaponics production, and the purpose of this research was to document the production methods, crop and fish yields, and profitability of commercial aquaponics in the United States (US) and internationally. An online survey was used for data collection, and 257 respondents met the inclusion criteria for the study. Eighty-one percent of respondents lived in the US, and the remaining respondents were from 22 other countries. The median year that respondents had begun practicing aquaponics was 2010. A total of 538 full-time workers, 242 part-time workers, and 1720 unpaid workers or volunteers were employed at surveyed organizations. The most commonly raised aquatic animals by percent were tilapia (69%), ornamental fish (43%), catfish (25%), other aquatic animals (18%), perch (16%), bluegill (15%), trout (10%), and bass (7%). Production statistics, gross sales revenue, investments, and sales outlets for operations are reported and compared to other fields of aquaculture and agriculture. A multivariable logistic regression model was used to study which factors were associated with profitability (as a binary outcome) in the past 12 months. Several factors were significantly associated with profitability: aquaponics as the respondents' primary source of income (p < 0.01; Odds Ratio: 5.79; 95% Confidence Interval: 3.8–9.0), location in US Department of Agriculture plant hardiness zones 7–13 (p < 0.01; OR: 4.17; 95% CI: 3.2–5.5), gross sales revenue ≥$5000 (p < 0.01; OR: 3.58; 95% CI: 2.2–5.8), greater aquaponics knowledge (p < 0.01; OR: 2.37; 95% CI: 2.0–2.9), and sales of non-food products (e.g., supplies, materials, consulting services, workshops, and agrotourism) (p = 0.028; OR: 2.13; 95% CI: 1.1–4.2). Our survey findings provide a better understanding of the business of aquaponics, which may enhance future commercial operations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abstract

Our article focuses on the region of Chilean Patagonia and considers how it has developed as a leading producer of salmon for global food markets. It addresses the problem of how to decentre conventional views of the forces driving regional development that give primacy to the role of capital and technology, instead giving due recognition to the knowledge and practices of situated actors and to the relationships that form between human and non-human entities in food producing regions. As an alternative, we ask whether an assemblage approach can improve our understanding of regional transformation. To explore this question, we present original ethnographic data on constitutive practices that have transformed the Patagonian region, from the territorialization of Salmonidae species to experimentation in ocean ranching and seawater fish farming, and finally the development of a global industry. The evidence leads us to argue that in a complex globalised world, assemblage theory offers a valuable approach for understanding how regional potential is realised. In the case of Chilean Patagonia, it is apparent that forms of bio-power generate new relations between life, agency and nature, stimulating contemporary regional transformations in ways overlooked by the lineal logic of capital objectification discourses. Applying an assemblage approach enables the significance of new contemporary human – non-human relationships and inter-subjectivities to come to the fore, keeping the social in view as potential for regional transformation and new power asymmetries continuously emerge.",,,,,,,,,,,,,,,,,,,,,,,,,"Becoming a region, becoming global, becoming imperceptible: Territorialising salmon in Chilean Patagonia",,,,,,,,,,,,,,,,,,,,,,,,,,
"Abstract

Our article focuses on the region of Chilean Patagonia and considers how it has developed as a leading producer of salmon for global food markets. It addresses the problem of how to decentre conventional views of the forces driving regional development that give primacy to the role of capital and technology, instead giving due recognition to the knowledge and practices of situated actors and to the relationships that form between human and non-human entities in food producing regions. As an alternative, we ask whether an assemblage approach can improve our understanding of regional transformation. To explore this question, we present original ethnographic data on constitutive practices that have transformed the Patagonian region, from the territorialization of Salmonidae species to experimentation in ocean ranching and seawater fish farming, and finally the development of a global industry. The evidence leads us to argue that in a complex globalised world, assemblage theory offers a valuable approach for understanding how regional potential is realised. In the case of Chilean Patagonia, it is apparent that forms of bio-power generate new relations between life, agency and nature, stimulating contemporary regional transformations in ways overlooked by the lineal logic of capital objectification discourses. Applying an assemblage approach enables the significance of new contemporary human – non-human relationships and inter-subjectivities to come to the fore, keeping the social in view as potential for regional transformation and new power asymmetries continuously emerge.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abstract

Our article focuses on the region of Chilean Patagonia and considers how it has developed as a leading producer of salmon for global food markets. It addresses the problem of how to decentre conventional views of the forces driving regional development that give primacy to the role of capital and technology, instead giving due recognition to the knowledge and practices of situated actors and to the relationships that form between human and non-human entities in food producing regions. As an alternative, we ask whether an assemblage approach can improve our understanding of regional transformation. To explore this question, we present original ethnographic data on constitutive practices that have transformed the Patagonian region, from the territorialization of Salmonidae species to experimentation in ocean ranching and seawater fish farming, and finally the development of a global industry. The evidence leads us to argue that in a complex globalised world, assemblage theory offers a valuable approach for understanding how regional potential is realised. In the case of Chilean Patagonia, it is apparent that forms of bio-power generate new relations between life, agency and nature, stimulating contemporary regional transformations in ways overlooked by the lineal logic of capital objectification discourses. Applying an assemblage approach enables the significance of new contemporary human – non-human relationships and inter-subjectivities to come to the fore, keeping the social in view as potential for regional transformation and new power asymmetries continuously emerge.",,,,,,,,,,,,,,,,,,,,"
The economic and environmental sustainability of aquaculture depends significantly on the nature and quality of the fish feed used. One of the main criticisms of aquaculture is the need to use significant amounts of fish meal, and other marine protein sources, in such feed. Unfortunately, the availability of the oceanic resources, typically used to produce fish feed, cannot be utilized indefinitely to cover the worldwide feed demand caused by ever-increasing aquaculture production. In light of these considerations, this study estimates how aquaculture farm economic outcomes can change by introducing insect meal into the diet of cultivated fish. Several possible economic effects are simulated, based on various scenarios, with different percentages of insect flour in the feed and varying meal prices using a case study of a specialized off-shore sea bass farm in Italy. The findings indicate that the introduction of insect meal—composed of Tenebrio molitor—would increase feeding costs due to the high market prices of this flour and its less convenient feed conversion ratio than that of fish meal. Therefore, the expected environmental benefits of using this highly promising insect meal in fish feed do not align with the current economic interests of the aquaculture industry. To our knowledge, this is the first study to investigate this theme, and it must be noted that our findings cannot be generalized widely because a specific case study was used. Nevertheless, our findings suggest that efforts should be made—at least at the farm level—to find profitable ways to encourage the introduction of this attractive alternative to guarantee both economic and environmental sustainability in the near future.
View Full-Text
",,,,,,,,,,,,,,,,,,,,,,,,,,,,"
The Introduction of Insect Meal into Fish Diet: The First Economic Analysis on European Sea Bass Farming ",,,
"Abstract

Our article focuses on the region of Chilean Patagonia and considers how it has developed as a leading producer of salmon for global food markets. It addresses the problem of how to decentre conventional views of the forces driving regional development that give primacy to the role of capital and technology, instead giving due recognition to the knowledge and practices of situated actors and to the relationships that form between human and non-human entities in food producing regions. As an alternative, we ask whether an assemblage approach can improve our understanding of regional transformation. To explore this question, we present original ethnographic data on constitutive practices that have transformed the Patagonian region, from the territorialization of Salmonidae species to experimentation in ocean ranching and seawater fish farming, and finally the development of a global industry. The evidence leads us to argue that in a complex globalised world, assemblage theory offers a valuable approach for understanding how regional potential is realised. In the case of Chilean Patagonia, it is apparent that forms of bio-power generate new relations between life, agency and nature, stimulating contemporary regional transformations in ways overlooked by the lineal logic of capital objectification discourses. Applying an assemblage approach enables the significance of new contemporary human – non-human relationships and inter-subjectivities to come to the fore, keeping the social in view as potential for regional transformation and new power asymmetries continuously emerge.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ocean space for seafood,,,,,,,,,,
"Abstract

Our article focuses on the region of Chilean Patagonia and considers how it has developed as a leading producer of salmon for global food markets. It addresses the problem of how to decentre conventional views of the forces driving regional development that give primacy to the role of capital and technology, instead giving due recognition to the knowledge and practices of situated actors and to the relationships that form between human and non-human entities in food producing regions. As an alternative, we ask whether an assemblage approach can improve our understanding of regional transformation. To explore this question, we present original ethnographic data on constitutive practices that have transformed the Patagonian region, from the territorialization of Salmonidae species to experimentation in ocean ranching and seawater fish farming, and finally the development of a global industry. The evidence leads us to argue that in a complex globalised world, assemblage theory offers a valuable approach for understanding how regional potential is realised. In the case of Chilean Patagonia, it is apparent that forms of bio-power generate new relations between life, agency and nature, stimulating contemporary regional transformations in ways overlooked by the lineal logic of capital objectification discourses. Applying an assemblage approach enables the significance of new contemporary human – non-human relationships and inter-subjectivities to come to the fore, keeping the social in view as potential for regional transformation and new power asymmetries continuously emerge.",,,,,,,,,,,,,,,,,,,,"
Although marine fishing is one of the most hazardous occupations, research on the occupational safety and health (OSH) conditions aboard marine fishing vessels is scarce. For instance, little is known about the working conditions of vulnerable groups such as young and aging fishermen. The objective of the current paper is to study the OSH conditions of young and aging fishermen compared to middle-aged fishermen in the small- and medium-size (SM) marine fishing sector. A cross-sectional study was designed, and 686 fishermen working aboard SM fishing vessels were interviewed to collect information about their safety and health. The associations of physical and psychosocial work conditions with safety and health outcomes, e.g., injuries, illnesses and job satisfaction, are presented. The results of the current study can be utilized in the design of effective accident prevention and OSH training programs for the three age groups and in the regulation of working conditions aboard fishing vessels.
View Full-Text
",,,,,,,,,,,,,,,,,,,,,,,,,,,,"
Occupational Safety and Health Conditions Aboard Small- and Medium-Size Fishing Vessels: Differences among Age Groups ",,,
"Abstract

Our article focuses on the region of Chilean Patagonia and considers how it has developed as a leading producer of salmon for global food markets. It addresses the problem of how to decentre conventional views of the forces driving regional development that give primacy to the role of capital and technology, instead giving due recognition to the knowledge and practices of situated actors and to the relationships that form between human and non-human entities in food producing regions. As an alternative, we ask whether an assemblage approach can improve our understanding of regional transformation. To explore this question, we present original ethnographic data on constitutive practices that have transformed the Patagonian region, from the territorialization of Salmonidae species to experimentation in ocean ranching and seawater fish farming, and finally the development of a global industry. The evidence leads us to argue that in a complex globalised world, assemblage theory offers a valuable approach for understanding how regional potential is realised. In the case of Chilean Patagonia, it is apparent that forms of bio-power generate new relations between life, agency and nature, stimulating contemporary regional transformations in ways overlooked by the lineal logic of capital objectification discourses. Applying an assemblage approach enables the significance of new contemporary human – non-human relationships and inter-subjectivities to come to the fore, keeping the social in view as potential for regional transformation and new power asymmetries continuously emerge.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aquafeed Formulation,,,,,,,,,,,,,,,,
"Abstract

In 2013, hexabromocyclododecane (HBCD) was listed in the Stockholm Convention on Persistent Organic Pollutants obligated to be phased out worldwide. China is a major producer and user of HBCD. Based on Chinese HBCD production and processing conditions, we classified the existing 599 HBCD production and processing plants into six occupational exposure scenarios. We also used occupational environmental monitoring and occupational health risk assessment models to estimate exposure levels. Occupational internal exposure levels for HBCD in China were estimated to range from 0.61 to 840 μg kg−1 d−1, which suggests that approximately 453–840 workers, or 72% of all workers in this industry, may have occupational exposure risk. As such, the occupational risks of HBCD should not be ignored. In our study area, HPLC-MS/MS revealed HBCD concentrations ranging from 0.11 to 560 ng g dry weight (dw)−1, 20.4–24.2 ng g dw−1, and 166–1964 ng g lipid weight (lw)−1 in soil, sediment, and biological samples, respectively, consistent with previous monitoring results. These data suggest potential risk to marine environments due to sustained and large-scale HBCD production and processing. Thus, timely measures to control HBCD-related risk are necessary and may bring significant occupational health and environmental benefits in areas where HBCD is prevalent.",,,,,,,,,,,,,,,,,,,,,,,,,Assessment of the occupational and environmental risks of hexabromocyclododecane (HBCD) in China,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abstract

In 2013, hexabromocyclododecane (HBCD) was listed in the Stockholm Convention on Persistent Organic Pollutants obligated to be phased out worldwide. China is a major producer and user of HBCD. Based on Chinese HBCD production and processing conditions, we classified the existing 599 HBCD production and processing plants into six occupational exposure scenarios. We also used occupational environmental monitoring and occupational health risk assessment models to estimate exposure levels. Occupational internal exposure levels for HBCD in China were estimated to range from 0.61 to 840 μg kg−1 d−1, which suggests that approximately 453–840 workers, or 72% of all workers in this industry, may have occupational exposure risk. As such, the occupational risks of HBCD should not be ignored. In our study area, HPLC-MS/MS revealed HBCD concentrations ranging from 0.11 to 560 ng g dry weight (dw)−1, 20.4–24.2 ng g dw−1, and 166–1964 ng g lipid weight (lw)−1 in soil, sediment, and biological samples, respectively, consistent with previous monitoring results. These data suggest potential risk to marine environments due to sustained and large-scale HBCD production and processing. Thus, timely measures to control HBCD-related risk are necessary and may bring significant occupational health and environmental benefits in areas where HBCD is prevalent.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abstract

In 2013, hexabromocyclododecane (HBCD) was listed in the Stockholm Convention on Persistent Organic Pollutants obligated to be phased out worldwide. China is a major producer and user of HBCD. Based on Chinese HBCD production and processing conditions, we classified the existing 599 HBCD production and processing plants into six occupational exposure scenarios. We also used occupational environmental monitoring and occupational health risk assessment models to estimate exposure levels. Occupational internal exposure levels for HBCD in China were estimated to range from 0.61 to 840 μg kg−1 d−1, which suggests that approximately 453–840 workers, or 72% of all workers in this industry, may have occupational exposure risk. As such, the occupational risks of HBCD should not be ignored. In our study area, HPLC-MS/MS revealed HBCD concentrations ranging from 0.11 to 560 ng g dry weight (dw)−1, 20.4–24.2 ng g dw−1, and 166–1964 ng g lipid weight (lw)−1 in soil, sediment, and biological samples, respectively, consistent with previous monitoring results. These data suggest potential risk to marine environments due to sustained and large-scale HBCD production and processing. Thus, timely measures to control HBCD-related risk are necessary and may bring significant occupational health and environmental benefits in areas where HBCD is prevalent.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,823 Prevention of occupational diseases: deriving lessons from journey of surveillance,,,,,,,,,,,,,,,,,,,,,,
