字段4_链接,字段9,字段10,字段11,字段12,字段13,字段14,字段15,字段16,字段17,字段18,字段19,字段20,字段21,字段22,字段23,字段24
https://pubmed.ncbi.nlm.nih.gov/29297571/,,,,"
                The survey included questions about exposure, health complaints, health status and job satisfaction. Methods for analysis were descriptive statistics and relative risk (RR). ...Purse sein fishers are less exposed to climatic (RR = 0.777, 95% CI 0.633-0.953), ergonomic (RR …
              ",job,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26151907/,Free PMC article.,,,"
                Biofouling is a serious problem in marine aquaculture and it has a number of negative impacts including increased forces on aquaculture structures and reduced water exchange across nets. This in turn affects the behavior of fish cages in waves and currents an …
              ",aquaculture,aquaculture,fish,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/27681212/,,occupational,fisheries,"
                BACKGROUND: Fishing is an extremely dangerous occupational activity that predisposes to occupational diseases and accidents. ...Health disorders included musculoskeletal, cardiovascular and visual problems and to a minor degree by hearing, dermatologic and respirato …
              ",occupational,occupational,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/31599058/,,,,"
                It has the following features: (a) point-and-click and drag-and-drop graphical user interface; (b) a workplace to manage and organize molecular sequence data and results of analyses; (c) GenBank entry extraction and comparative statistics; and (d) a phylogenetic workflow w …
              ",workplace,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/30924063/,Free PMC article.,,,"
                
              ",,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/32560066/,Free PMC article.,,,"
                Perhabdoviruses are a threat to some freshwater fish species raised in aquaculture farms in Europe. Although the genetic diversity of these viruses is suspected to be high, the classification of isolates is still in its infancy, with just one full-length genome avai …
              ",fish,aquaculture,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/32573270/,,,,"
                Nickel nanoparticles (Ni-NPs) have been widely used in various industries related to electronics, ceramics, textiles, and nanomedicine. Ambient and occupational exposure to Ni-NPs may bring about potential detrimental effects on animals and humans. ...
              ",occupational,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/29471284/,Free PMC article.,fish,,"
                Several metabolic parameters were assessed in juvenile Chinook salmon (Oncorhynchus tshawytscha) and staghorn sculpin (Leptocottus armatus) residing in two estuaries receiving wastewater treatment effluent and one reference estuary. We also conducted a laboratory study with fi …
              ",fi,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/30857258/,Free PMC article.,,,"
                To investigate the prevalence and work-related factors associated with lower back MSD in a population of female shellfish gatherers, an epidemiological cross-sectional study was carried out in Saubara, Bahia-Brazil, in 2013. The Brazilian version of the Job Content Questio …
              ",Job,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/31022011/,,,,"
                The USTUR skull phantom was made from the US Transuranium and Uranium Registries whole-body donor (case 0102) who was contaminated due to an occupational intake of Am; one-half of the skull corresponds to real contaminated bone, the other half is real human bone from a non …
              ",occupational,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/29704211/,Review.,Occupational,,"
                Cumulative UV exposure is associated with a significantly increased risk of skin cancer for outdoor workers from various occupational groups (e. g. landscape and horticulture, agriculture and forestry, fisheries and seafaring, construction and trade, as well as spor …
              ",occupational,fisheries,,,,,German.,,,,,
https://pubmed.ncbi.nlm.nih.gov/30360252/,Review.,,,"
                In the present review, especial attention is given to estuaries in South America (SA), where legislation, policies and actions to guarantee environmental quality remain ineffective. There, the majority of estuaries face uncontrolled occupation of its margins by urban and i …
              ",occupation,,,,,,Review.,,,,,
https://pubmed.ncbi.nlm.nih.gov/30503488/,,fish,,"
                High-risk contaminants, OCPs and PCBs, were investigated in marine fish from the Adriatic Sea, from which retail fish in Croatia is commonly sourced. ...The results, mutually compatible or in agreement, could be useful for the design and implementation of the abatem …
              ",fish,fish,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/33098405/,Free PMC article.,,,"
                
              ",,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/32299138/,,,,"
                Community richness and structure were only altered by acidification, while space occupation and evenness reflected patterns of the most dominant species. ...
              ",occupation,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/28068167/,Free PMC article.,,,"
                DATA SOURCES: We searched the MEDLINE, Military & Government Collection (EBSCO), National Institute for Occupational Safety and Health Technical Information Center, PubMed, and Web of Science databases for articles published between January 1990 and September 2015. ...
              ",Occupational,,,,,,Review.,,,,,
https://pubmed.ncbi.nlm.nih.gov/32064271/,Free PMC article.,,,"
                
              ",,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/29783084/,,fish,,"
                To tackle the ever-present global concern regarding human exposure to persistent organic pollutants (POPs) via food products, this study strived to indicate associations between organochlorine pesticides (OCPs) and polychlorinated biphenyls (PCBs) in lake-fish tissue depen …
              ",fish,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/30422078/,Free PMC article.,,,"
                However, structural and occupational barriers to HIV care associated with the masculine role of worker remained a barrier to care engagement. Findings suggest that emphasising the benefits of ART in bolstering men's ability to fulfil the roles important to them may …
              ",occupational,s,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26788841/,,Workplace,,"
                Commercial fishing continues to have one of the highest rates of occupational fatalities compared with other work sectors in the United States. ...
              ",occupational,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/29507224/,Free PMC article.,aquaculture,,"
                Intensification (measured in material and economic output per unit primary area farmed) is positively correlated with acidification, eutrophication, and ecotoxicological impacts in aquatic ecosystems; negatively correlated with freshwater consumption; and indifferent with regard …
              ",,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/29797494/,Free PMC article.,,,"
                The advantages include high growth rate, potential cultivation in saltwater, and no occupation of arable land. Macroalgae are broadly classified as brown (Phaeophyta), red (Rhodophyta) and green (Chlorophyta) algae, and are a diverse group of marine organisms. ...
              ",occupation,,,,,,Review.,,,,,
https://pubmed.ncbi.nlm.nih.gov/32750594/,,,,"
                Victoria Pure Blue BO is a dye that bears some therapeutic activity and that can be retrieved in effluent or may be used in aquaculture as a prohibited drug. In this study, the metabolism and tissue distribution during uptake and depuration of VPBO were investigated in ord …
              ",aquaculture,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/30877528/,,,,"
                Consumption of the muscle and liver of wild Barbary sheep can be considered safe for the health of adult consumers regarding toxic metal(loid)s and radioactive caesium, though the liver should be avoided as a food item in vulnerable population groups due to the possible ad …
              ",s,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/31865112/,,aquaculture,,"
                LC-MS/MS method was developed for the efficient identification and quantification of 21 banned substances including various nitroimidazoles, nitrofurans, pharmacologically-active dyes and chloramphenicol, respectively in aquaculture products. The sample preparation was sta …
              ",aquaculture,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/29140631/,,Fish,Hatchery,"
                Formalin, an aqueous solution of formaldehyde and methanol, is widely used in aquaculture facilities to treat water molds during egg incubation. Given the carcinogenic properties of formaldehyde, an understanding of the occupational exposure of aquaculture wo …
              ",aquaculture,occupational,aquaculture,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/31328808/,,,,"
                METHODS: For participating vessels, researchers attached an accelerometer to a PFD worn by a crewmember and another to the vessel's wheelhouse. GoPro videos were also employed to record crewmember activities so these could be synchronized with accelerometer outputs. ...
              ",s,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/27364176/,,,,"
                Few studies have investigated the effect of environmental work factors on the physiology of this occupational group. The aim of the study was to investigate work strain and thermophysiological responses of fishermen on the trawl and factory decks of deep-sea vessels. ...
              ",occupational,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/27167645/,"English, Portuguese.",fish,,"
                INTRODUCTION: Significant levels of mercury exposure associated with fish intake have been demonstrated in riverine populations living in areas of mineral exploration as the basin of Tapajos and Madeira. ...Data were collected from socio demographic and food profile, as we …
              ",fish,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/31279559/,,,,"
                Capacity and efficiency of AMS are highly dependent on the individual cow's milking efficiency, such as milking speed and occupation time in the milking robot. ...
              ",s,occupation,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/31703588/,Free PMC article.,,,"
                The potential for cross species transmission of pathogenic serovars is highlighted as well as the potential for occupational exposure to slaughterhouse personnel. Improvements in husbandry practices (confinement and rodent control) and public health education among slaught …
              ",occupational,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/31373262/,,s,Fisheries,"
                Catch shares management has been associated with longer fishing seasons and a decline in the intensity of competition among fishers. This study assesses changes in exposure of Alaska's commercial crab fisheries to relatively high-risk weather conditions after ration …
              ",s,fisheries,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/33097262/,Review.,,,"
                The reviewed occurrence of antibiotics in their sources suggests that effluent from wastewater treatment plants, wastewater from aquaculture and livestock production activities, and untreated urban sewage are principal sources of antibiotics in surface water. ...
              ",aquaculture,,,,,,Review.,,,,,
https://pubmed.ncbi.nlm.nih.gov/31642141/,Free PMC article.,,,"
                
              ",,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/32407482/,,,,"
                Penicillium chrysogenum was the sole fungi that contributed 11% of the entire endophytic community. Antimicrobial activity against various aquaculture/human pathogens revealed that around 59% of endophytes inhibited at least one of the pathogens screened. ...
              ",aquaculture,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/28377522/,Free PMC article.,,,"
                Illness among individuals who listed fishing as their primary occupation affected their participation in fishing. However, among active fishers, we found limited evidence that illness reduced fishing effort. ...When ill, fishers were more likely to use methods that were il …
              ",occupation,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26907702/,Free PMC article.,,,"
                Collectively, we detected 81 analytes in effluent, 25 analytes in estuary water, and 42 analytes in fish tissue. A number of compounds, including sertraline, triclosan, estrone, fluoxetine, metformin, and nonylphenol were detected in water and tissue at concentrations that …
              ",fish,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26826963/,Review.,,,"
                The most significant source of ingestion-related mercury exposure in humans and animals is the consumption of fish. Long-term exposure to mercury compounds from different sources (e.g., water, food, soil, and air) can lead to toxic effects on skin, cardiovascular, pulmonar …
              ",fish,,,,,,Review.,,,,,
https://pubmed.ncbi.nlm.nih.gov/28280563/,Free PMC article.,,,"
                We examined relationships between body size and trophic position (TP) within fish assemblages in four lowland rivers of the Lower Mekong Basin in Cambodia. Stable isotope analysis (based on delta(15)N) was used to estimate TP of common fish species in each river, an …
              ",fish,fish,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/25566797/,Review.,,,"
                The most significant advantages of GM crops include being independent to farm size, environment protection, improvement of occupational health issues, and the potential of bio-fortified crops to reduce malnutrition. ...
              ",farm,occupational,,,,,Review.,,,,,
https://pubmed.ncbi.nlm.nih.gov/29540965/,Free PMC article.,Occupational,Fisheries,"
                RESULTS: Fifty-five percent of the participants complained of work-related health problems. A total of 63.9% of women had occupational health problems compared to 48.5% of the men (P < 0.05). ...None of the workers reported receiving any kind of benefits at their wor …
              ",,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/27836345/,,fish,,"
                Similarly, concentrated HCl and HNO(3) treatments at RT fully digested the fish tissues, but also fully dissolved NY6 and NY66, and reduced the recovery rate of most or all of the polymers, respectively. ...Furthermore, coupling this treatment with NaI extraction created a …
              ",fish,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/32981909/,Free PMC article.,occupation,,"
                Our results showed that occupations and industries with higher mortality rates in men had the same trend as the results from 2010, and occupations and industries with higher mortality rates in women were almost the same as those in men. The analyses also indicated t …
              ",occupations,occupations,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26782030/,Free PMC article.,,,"
                However, research on non-fatal injuries is limited. Non-fatal injuries constitute the majority of occupational injuries and can result in workers' lowered productivity and wages, lost quality of life, and disability. ...The most frequent main work processes associated with …
              ",occupational,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/28764109/,Free PMC article.,fish,fish,"
                The Fish Plasma Model (FPM) was applied to water exposure and tissue concentrations in fish collected from two wastewater treatment plant impacted estuarine sites. In this study we compared predicted fish plasma concentrations to Cmax values for humans, which …
              ",Fish,fish,fish,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/29929319/,,,,"
                Given the value chain of bioremediation and its ancillary activities, the study analysed opportunities and mechanisms for skilled and unskilled job creation and prospects for sustainable livelihoods and knock-on effects. ...
              ",job,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/33045559/,,,,"
                
              ",,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26684702/,Review.,farm,,"
                Qualitative data describe a variety of positive experiences, such as improved coping ability, increased social support, and appreciation of the care farm activity. CONCLUSION: Participating in interventions on care farms positively influences mental health. Care farming ma …
              ",farm,,,,,,Review.,,,,,
https://pubmed.ncbi.nlm.nih.gov/31391134/,,Farm,,"
                At excavation, sediment samples were collected from occupation deposits around the timber structures. Fifteen coprolites were also hand-recovered from the occupation deposits; four were identified as human and seven as canine, using fecal lipid biomarkers. ...This i …
              ",occupation,occupation,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/28660610/,Free article.,,,"
                BACKGROUND: The aim was to investigate the potential fishermen's psychological functioning which induces risk-taking behaviours by evaluating the ordalique functioning. ...Risk-taking behaviours into account in the safety system could reduce occupational hazards in …
              ",s,occupational,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/27895363/,Review.,,,"
                
              ",,,,,,,Review.,,,,,
https://pubmed.ncbi.nlm.nih.gov/30509193/,Free PMC article.,,,"
                METHODS: Serum sample from 590 abattoir cattle and 816 plausible occupational risk and vulnerable humans to brucellosis (107 abattoir personnel and 709 pregnant women) were collected and screened for anti-brucella antibodies using Rose Bengal Plate Test (RBPT) and ELISA te …
              ",occupational,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26420195/,Free article.,,,"
                The aim of this study was to determine the level of exposure to polychlorinated biphenyls (PCBs) and selected heavy metals among fishermen via dietary intake of fish and other seafood from the eastern coast along the Straits of Malacca. ...Although the levels of exposure w …
              ",fish,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/32560834/,Free article.,S,,"
                The 2015 U.S. West Coast domoic acid event was caused by a massive harmful algal bloom (HAB) that consisted mostly of the diatom Pseudo-nitzschia australis. ...Further, those employed in fishing-related occupations were less likely to recover financial losses suffer …
              ",S,occupations,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/28357834/,Free article.,occupational,,"
                BACKGROUND: Sea fishing is one of the most dangerous occupations. Numerous studies have already sought to evaluate the risk level of this occupation through the analysis of the frequency and seriousness of occupational injuries. ...
              ",occupations,occupation,occupational,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/32460676/,,,,"
                Secondly, efforts should be made to tighten the quality of safety inspections of cranes and supervision of workplaces. Thirdly, efforts should be made to develop more human error-free equipment. ...
              ",workplaces,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/32193807/,,occupation,,"
                Water quality index showed that the studied ponds are unsuitable for drinking purpose and aquaculture. The Shannon index further indicated comparatively lower diversity of zooplankton community in the studied ponds. ...
              ",aquaculture,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/32782407/,No abstract available.,,,"
                
              ",,,,,,,,No abstract available.,,,,
https://pubmed.ncbi.nlm.nih.gov/30547747/,Free PMC article.,,,"
                BACKGROUND: In Southeast Asia, though fishermen are known to be a key population at high risk of HIV, little is known about their co-infection rates with Hepatitis C virus (HCV), or how illness and risk behaviors vary by occupation or type of fishermen. In Myanmar, this la …
              ",occupation,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/32189441/,,s,,"
                Meta-regression revealed an increase in Anisakis spp. abundance (average number of worms/fish) over a 53 year period from 1962 to 2015 and no significant change in Pseudoterranova spp. abundance over a 37 year period from 1978 to 2015. ...This increase in Anisakis spp. abu …
              ",fish,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/33268173/,,aquaculture,,"
                LC-MS/MS method for confirmation of nitrofuran metabolites in meat and aquaculture products, including the nifursol metabolite (DNSH), was developed. ...
              ",aquaculture,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/32540718/,,,,"
                Ammonia concentration was positively associated with BALf epithelial cell percentage (P = 0.01). Air velocity >0.8 m/s was associated with increased odds of lung consolidation of 3 cm (OR = 6.8; CI = 1.2-38.5; P = 0.04) and 6 cm (OR = 15.9; CI = 1.2-200.0; P = 0.03). .. …
              ",s,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/30448370/,,,,"
                The present study highlighted the diagnosis of B. suis bvI as a cause of abortions in the pigs and occupational exposure to farm personnel....
              ",occupational,farm,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/30048493/,Free PMC article.,,,"
                It provides high densities of fish. A successful means of mitigating the conflict is the pontoon trap. ...Larger salmons were caught in traps equipped with SEDs. The SEDs did not affect the number of caught fish or the total catch per soak day....
              ",fish,fish,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/29648956/,Free PMC article.,,,"
                CONCLUSIONS: The prevalence of hearing loss, upper extremity disorders, and sleep apnea risk factors were higher than in the general population both before and during the fishing season. Occupational factors including exposure to noise, the upper extremity demands of gilln …
              ",Occupational,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/27585601/,,aquaculture,,"
                An approach is described to validate a fast and simple targeted screening method for antibiotic analysis in meat and aquaculture products by LC-MS/MS. The strategy of validation was applied for a panel of 75 antibiotics belonging to different families, i.e., penicillins, c …
              ",aquaculture,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26164116/,Review.,,,"
                Literature from animal models was selected focusing on REE-associated health effects. RESULTS: Some REE occupational exposures, in jobs such as glass polishers, photoengravers and movie projectionists showed a few case reports on health effects affecting the respiratory sy …
              ",occupational,,,,,,Review.,,,,,
https://pubmed.ncbi.nlm.nih.gov/33297093/,,,,"
                The exposure to IM (0.01, 1 and 100 mug/L) was initiated in adult fish and continued through hatching and the offspring generation for seven months. ...The whole-genome transcriptome analyses demonstrated dose-dependent increase in the number of differentially expressed ge …
              ",fish,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/33106350/,,,,"
                Significant declines in annual rates were observed for younger workers (15-29 and 30-49 years), indigenous Maori, those in the public administration and service sector, and those in community and personal service occupations. Increases in annual rates occurred for workers …
              ",occupations,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/32786583/,,,,"
                This scenario is also supported by the reduction of distribution coefficient (K(d)) from a geometric mean value of 5.5 10(5) L/kg in rivers to 9.8 10(4) L/kg in nearshore water. The occupation of desorbed (137)Cs to the dissolved activity of this nuclide in nearshore water …
              ",occupation,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/33218438/,,,,"
                As well as its direct value, it helps to stabilize communities in rural areas characterized by limited job opportunities. It is also important for consumers who recognize shellfish as a healthy product that gains its nutrition from natural plankton without the need for fer …
              ",job,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/27364175/,,,,"
                MATERIALS AND METHODS: A cross sectional study was performed on a random sample of active Danish commercial fishermen (response rate: 28%) by means of a questionnaire on demographic and self-reported occupational and health data. Questions covering the physical workload we …
              ",occupational,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/29473863/,Free PMC article.,Occupational,,"
                This survey aimed to evaluate the applicability of the Nordic Occupational Skin Questionnaire (NOSQ) as a preliminary screening tool to investigate the presence of contact dermatological disorders in sea fishermen. The Italian version of the NOSQ was administered to 143 ma …
              ",Occupational,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/33038571/,,,,"
                Infectious hematopoietic necrosis virus (IHNV) is a pathogen of importance for salmonid aquaculture. In this study, we aimed to characterize virus behavior and defense mechanisms developed in rainbow trout (RT, Oncorhynchus mykiss) experimentally infected with isolates bel …
              ",aquaculture,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/29739433/,Free PMC article.,,,"
                Yet, research on the health needs of trafficked fishermen is sparse. This paper describes abuses, occupational hazards, physical and mental health and post-trafficking well-being among a systematic consecutive sample of 275 trafficked fishermen using post-trafficking servi …
              ",occupational,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/32328897/,,,,"
                
              ",,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/32224384/,,,,"
                The (11)OPEs released from the feeds to the culture ponds was estimated to be 49 mug m(-2) per three-month period. In the aquaculture ponds, the sediment-water distribution coefficient (log K(OC)), and the bioaccumulation factors from the water (log BWAFs) or the feed (log …
              ",aquaculture,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/33212098/,,occupational,,"
                Consequently, sea cucumbers, notably the orange-footed sea cucumber (Cucumaria frondosa)are increasingly harvested from the environment or farmed via aquaculture. We report three cases of unusual occupational exposure to C. frondosa resulting in cutaneous, respirato …
              ",aquaculture,occupational,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/33082440/,Free PMC article.,,,"
                
              ",,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/28097613/,,,,"
                Conflicts occur even within an agency when one department oversees science and protection of populations and another oversees and fosters an industry (aquaculture or fisheries, or permits for off-road vehicles). Conflicts also occur between resource agencies, indust …
              ",aquaculture,fisheries,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/30563534/,Free PMC article.,,,"
                
              ",,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/29039035/,,,,"
                ""Bare lands"" decreased by 21% being occupied by other land uses, especially by ""shrimp farms."" Shrimp farm area increased by 25.9% during this period, indicating a major occupational transformation from agriculture to shrimp aquaculture in the study area duri …
              ",farm,occupational,aquaculture,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/31466712/,Free PMC article.,,,"
                
              ",,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/25618579/,,,,"
                METHODS: By means of a database from the health insurance company for seafarers, diagnoses of German fishermen treated in German hospitals were determined from January 1997 to December 2007. Compared with the general German population, the fishermen's risk for specific dis …
              ",s,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/28247501/,,,,"
                Four hundred larvae from 10 different full-sib progenies were reared successively from 2 to 14 dph in these facilities. Before and after thermal treatments, fish were reared at 28C until sex ratio determination at 70 dph. In the control continuum, fish were nearly e …
              ",fish,fish,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/28230191/,Free PMC article.,occupation,,"
                We examined occupational and industrial differences in lung, gastric, and colorectal cancer risk among Japanese men of working age (25-64 years) using the 2010 Japanese national survey data for occupation and industry-specific death rates. ...For gastric cancer, the …
              ",occupational,occupation,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/32545085/,"English, Spanish.",,,"
                
              ",,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/32895962/,,,,"
                Citizen scientists reported 17% of bear sightings were under artificially lit conditions and monthly ALAN estimates did the best job accounting for spatial bias in detection of all observations, based on AIC values and effect sizes ( beta^ = 0.81, 0.71-0.90 95% CI). ...
              ",job,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/25679485/,Review.,,,"
                Relatively scarce information has been acquired to date on REE-associated biological effects, from studies of bioaccumulation and of bioassays on animal, plant and models; a few case reports have focused on human health effects following occupational REE exposures, in the …
              ",occupational,,,,,,Review.,,,,,
https://pubmed.ncbi.nlm.nih.gov/30643681/,Free PMC article.,,,"
                A cross-sectional survey consisting of a questionnaire was used in a hotspot area for FMD: Xayabouli Province, Lao People's Democratic Republic. A total of 189 respondents were interviewed. We found that the key players in this network were people who were involved with mo …
              ",s,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/33159541/,,,,"
                Nest substrate (soil or log) explained much of the variation in fungal community dissimilarity, while substrate occupation (ant nest or control sample) and time had no influence on fungal community composition. ...
              ",occupation,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/32406115/,Free PMC article.,s,,"
                In order to encourage the embedding of microbiology-centric class excursions in current curricula, we suggest and illustrate here some possibilities relating to the topics of food (a favourite pre-occupation of most children), agriculture (together with horticulture and …
              ",occupation,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/32882890/,Free PMC article.,,,"
                
              ",,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/29949605/,Free PMC article.,,,"
                The majority of participants were between 7-to-76 years of age with mean age of 30.72 (SD+/- 12.83). The sero-positivity of patient's blood samples for brucellosis using c-ELISA was 23.3% (97/416) among patients presenting to Wau hospital. Socio-demographic characteristics …
              ",s,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/33143061/,Free PMC article.,,,"
                
              ",,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26788780/,,,,"
                This study aimed to estimate a denominator of exposure to lobstering in full-time equivalents (FTE), to estimate a fatality rate, and to calculate incidence rates for acute injuries within the sample population. Captains were randomly selected from those licensed to fish i …
              ",fish,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/32078850/,,,,"
                Diethylstilbestrol (DES), as a synthetic estrogen, is still used as an animal growth stimulant in terrestrial livestock and aquaculture illegally. It has been reported to negatively affect ovarian function and oogenesis. ...Our research is helpful to understand how environ …
              ",aquaculture,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/27328394/,,,,"
                The objectives of the current study were to determine the occupational health hazards posed by the application of pesticides in rice-prawn concurrent systems of south-west Bangladesh and to assess their potential risks for the aquatic ecosystems that support the culture of …
              ",occupational,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/27250497/,Free PMC article.,,,"
                
              ",,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/30028918/,,,,"
                Hookah diving is a fishing method used in many small-scale fisheries in the Gulf of Mexico and the Caribbean Sea, as well as in many coastal fisheries around the world. ...Using a mixed-method analysis, this study reports the risk perceptions of small-scale fishers …
              ",fisheries,fisheries,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/30081451/,Free PMC article.,,,"
                Dietary intake on workdays was assessed by qualitative 24-h recalls at baseline and twice at follow-ups during the period of lunch provision using the Food and Agricultural Organization (FAO) guideline on assessing women's dietary diversity. In total, 158 participants prov …
              ",s,,,,,,Clinical Trial.,,,,,
https://pubmed.ncbi.nlm.nih.gov/30508566/,,,,"
                
              ",,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/32029460/,,,,"
                The use of 'map-like' information from the Earth's magnetic field for orientation has been shown in diverse taxa, but questions remain regarding the function of such maps. ...The headings adopted by these navigationally naive fish coincided remarkably well with the …
              ",s,fish,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/32753197/,,,,"
                This study investigated the levels and distribution of polychlorinated biphenyls (PCBs) and organochlorine pesticides in three tissue types of farmed Bluefin tuna (Thunnus thynnus): muscle, liver and branchiae. Seven adult species were caught in 2015 at a tuna farm in the …
              ",farm,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/28696398/,Free PMC article.,,,"
                These toxins are produced by epi-benthic dinoflagellates of the genera Gambierdiscus and Fukuyoa and may play a role in causing the symptoms associated with Ciguatera Fish Poisoning. A recent survey revealed that, of the species tested, the newly described species from the …
              ",Fish,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26884188/,Free PMC article.,fisheries,,"
                We posit that rights-based fisheries management (the individual allocation of fishing quota to vessels or fishing entities, also called catch shares) can improve safety by solving many of the problems associated with the competitive race to fish experienced in fi …
              ",fisheries,fish,fi,,,,,,,,,
